column,type,linear_strength,linear_p,binned_V,binned_p
lux,numeric,0.3482,2.541e-246,0.564,0
total_spend,numeric,0.1995,9.383e-79,0.4828,0
CryoSleep,categorical,0.4684,0,,
com,numeric,0.04619,1.646e-05,0.4561,0
Spa,numeric,0.2211,9.276e-95,0.3762,9.01e-256
RoomService,numeric,0.2446,3.4e-116,0.3725,9.62e-251
VRDeck,numeric,0.2071,4.99e-83,0.3551,2.729e-227
ShoppingMall,numeric,0.01014,0.3503,0.3104,3.013e-172
FoodCourt,numeric,0.04657,1.728e-05,0.2945,4.424e-155
deck,categorical,0.2149,1.074e-80,,
HomePlanet,categorical,0.1956,2.809e-71,,
Destination,categorical,0.1118,7.893e-24,,
side,categorical,0.1035,1.394e-21,,
Age,numeric,0.07503,4.165e-12,0.08959,1.453e-15
gsize,numeric,0.08264,1.186e-14,0,1
num,numeric,0.0451,3.214e-05,0.06873,1.407e-07
VIP,categorical,0.03687,0.0006804,,
